seed,budget,y_true,y_pred,min_cost,pred_cost,regret,rel_regret
106880641,50,ga,ga,11.47331957697384,11.47331957697384,0.0,0.0
72932549,50,aco,aco,9.658661881363724,9.658661881363724,0.0,0.0
94593905,50,aco,aco,106.89861949334782,106.89861949334782,0.0,0.0
195311232,50,aco,aco,18.269673516656752,18.269673516656752,0.0,0.0
114849068,50,aco,aco,96.33890752934218,96.33890752934218,0.0,0.0
110760138,50,aco,aco,11.89909866987128,11.89909866987128,0.0,0.0
84810392,50,ga,ga,23.530836979131635,23.530836979131635,0.0,0.0
134824987,50,aco,aco,63.91323970781861,63.91323970781861,0.0,0.0
174826690,50,ga,ga,30.11437942493115,30.11437942493115,0.0,0.0
672030605,50,sa,sa,380.06293159324616,380.06293159324616,0.0,0.0
80771327,50,ga,ga,27.18941026074654,27.18941026074654,0.0,0.0
29141106,50,aco,aco,30.468378269785603,30.468378269785603,0.0,0.0
65402934,50,ga,ga,79.50486838123251,79.50486838123251,0.0,0.0
62281385,50,ga,ga,49.8734574486141,49.8734574486141,0.0,0.0
88500402,50,aco,aco,72.46194839912293,72.46194839912293,0.0,0.0
42036195,50,aco,aco,49.27532104060632,49.27532104060632,0.0,0.0
35463988,50,ga,ga,16.006856935662803,16.006856935662803,0.0,0.0
151799033,50,aco,aco,65.08241815292502,65.08241815292502,0.0,0.0
725695318,50,sa,sa,81.61648304374333,81.61648304374333,0.0,0.0
177818590,50,aco,aco,9.959083282188166,9.959083282188166,0.0,0.0
81808519,50,aco,aco,65.3275282561273,65.3275282561273,0.0,0.0
87134101,50,aco,aco,6.651303567571532,6.651303567571532,0.0,0.0
160136461,50,aco,aco,25.711967980141168,25.711967980141168,0.0,0.0
87523048,50,ga,ga,25.6890692923612,25.6890692923612,0.0,0.0
623282581,50,sa,sa,254.0078622940262,254.0078622940262,0.0,0.0
186724479,50,aco,aco,25.8863415401588,25.8863415401588,0.0,0.0
20753813,50,ga,ga,6.571763430112316,6.571763430112316,0.0,0.0
198063780,50,ga,ga,43.144634802418096,43.144634802418096,0.0,0.0
67128263,50,ga,ga,92.32342165266677,92.32342165266677,0.0,0.0
57663886,50,aco,aco,68.42449049132901,68.42449049132901,0.0,0.0
50184136,50,ga,ga,75.69505641612906,75.69505641612906,0.0,0.0
13443604,50,aco,aco,13.294548619303225,13.294548619303225,0.0,0.0
94344580,50,aco,aco,19.923332592151446,19.923332592151446,0.0,0.0
80013379,50,ga,ga,13.061831330168136,13.061831330168136,0.0,0.0
144159715,50,aco,aco,107.36529121732556,107.36529121732556,0.0,0.0
14829851,50,aco,aco,45.02148034613541,45.02148034613541,0.0,0.0
191172437,50,ga,ga,40.266481212837135,40.266481212837135,0.0,0.0
52059060,50,aco,aco,28.89580221031332,28.89580221031332,0.0,0.0
131693465,50,aco,aco,4.657294958193313,4.657294958193313,0.0,0.0
35922746,50,aco,aco,25.13013679616964,25.13013679616964,0.0,0.0
192439008,50,aco,aco,11.608052647391684,11.608052647391684,0.0,0.0
93038117,50,aco,aco,43.81418260842675,43.81418260842675,0.0,0.0
91003625,50,ga,ga,19.062360506697075,19.062360506697075,0.0,0.0
