f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
4.0,67.0,5347.6745197700675,332.24349690741263,2.7516596385843317,67.0,16.31944652509285,10.107656800626845,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,0.5,aco,66.73322180902179,49.61348328933365,38.074123528531594,0.4954979849999859,12.524709266999992,22.269947907000017,50,418866
6.0,124.0,7503.441954635838,147.26714967059775,6.977266960354425,124.0,22.633799739719006,12.27191135793995,20.0,20.0,0.0,1.0,12.333333333333334,5.0,10.618300122022212,5.0,0.6666666666666666,aco,33.382543642078865,31.08438614882069,21.039185028960066,4.143824391999999,44.42723098900001,50.82588977499995,50,289217
3.0,106.0,3011.7860338177725,139.29652236199996,9.376059975585731,106.0,23.206913913727266,9.204808578415353,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,ga,37.22452023141685,26.693693318764847,201.50678735640585,1.0562048419999996,14.657807316000003,25.62391943099999,50,438812
3.0,121.0,9200.056268396595,115.03538209046626,7.511175774768502,121.0,11.86964293261897,19.36198812775677,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,65.47482987079181,54.066394852077764,34.30960424079848,0.5889912360000267,16.93570521700002,31.54495429299999,50,408893
5.0,50.0,2964.1152009071147,133.0136833097998,6.061968558141716,50.0,10.637834305256407,12.107227447928745,20.0,20.0,0.0,1.0,13.6,5.0,11.779853180184723,5.0,0.5,aco,28.191454016918208,25.22122653572024,16.604818557954715,0.5341798959999551,14.437898560000008,20.82923848500002,50,488677
5.0,31.0,1081.0249018378818,921.1152255971529,5.155428497658756,31.0,21.859877416922572,8.598107580761152,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,aco,34.080817734648996,30.6511360475535,26.692195220929218,0.3616651769999635,8.25750322600004,13.873288804000026,50,528569
3.0,98.0,3753.961339448335,487.1168652383762,5.566812659984555,98.0,17.17848359984019,16.196651967290258,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,45.60734547472474,40.694769385471524,26.043223766389893,0.4572858779999933,13.608099471999992,25.810968985999978,50,478704
5.0,52.0,4865.753499578982,984.4826123806722,2.9451604667028883,52.0,9.906447260697576,18.69982613111942,20.0,20.0,0.0,1.0,18.2,9.0,14.828761827158445,6.4031242374328485,0.6,aco,63.93632953278541,74.43041009425028,40.027463767410225,0.5112267480000128,15.509510390000003,21.882254520999993,50,498650
5.0,40.0,10790.220060130107,1466.8961846745729,2.1061983382668243,40.0,14.96975653862622,23.33983385602738,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,1.0,aco,146.71256736428182,129.01636525656397,91.01816069264339,0.4421947540000133,11.503725283999984,17.62346594500002,50,538542
4.0,124.0,5059.17382366723,121.7352070108499,8.237001058007852,124.0,22.038147977080218,16.03680092770639,20.0,20.0,0.0,1.0,10.833333333333334,5.0,9.647076018784562,5.0,1.0,aco,27.928251653498368,27.42261198849237,16.555922040919327,1.0909451969999964,24.24420776400001,39.215076952000004,50,428839
6.0,46.0,1776.0129821361882,559.5861711355554,6.322212878135501,46.0,24.61534604326226,20.382385863853635,20.0,20.0,0.0,1.0,12.333333333333334,5.0,10.618300122022212,5.0,1.0,aco,22.638644195065492,19.980897527292235,14.254940499820538,0.8260658650000323,16.717963040999962,22.785099480000042,50,548515
6.0,60.0,3679.311610257632,344.15772694149837,3.1489782326335627,60.0,15.321996541403232,9.227290547713046,20.0,20.0,0.0,1.0,19.133333333333333,9.0,15.357413855244838,6.4031242374328485,0.13333333333333333,aco,2018.2004047734579,1388.2509510700434,819.4710660208001,1.0190824620000285,21.513525070000014,31.154645577999986,50,508623
2.0,61.0,6188.649376984573,469.44521066735,7.712315688933565,61.0,22.67653585693766,11.866041823268386,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,141.72547943521718,171.24026660830432,90.51875771452626,0.4174826459999963,4.695143037000037,10.20808715100003,50,628299
6.0,30.0,7808.61603788338,249.5465796500453,5.810222829347564,30.0,21.86388209148884,13.844063593720437,20.0,20.0,0.0,1.0,12.333333333333334,5.0,10.618300122022212,5.0,0.6666666666666666,aco,92.52678671586654,80.68048394767244,52.43595888818008,0.693627738000032,10.890674547000003,15.829370979000032,50,588407
5.0,77.0,5465.431273196694,342.6924347850498,5.834005618923928,77.0,24.535337517871618,15.487379007481481,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.9,aco,42.15459578980583,36.52289490977768,22.5127519041513,1.136648369999989,23.558801679,31.52680156400004,50,518596
