f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
3.0,53.0,9349.7759370483,720.0512285616303,4.335441920654814,53.0,16.749056757778266,23.288752029779392,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,158.69072297836144,148.63607668043656,93.9944607823605,0.23934600400025374,4.8956171410000024,9.672505068000646,50,14879716
2.0,119.0,2927.5547259908617,202.7803544065744,1.6417288742526868,119.0,12.019002463015934,6.186153650064862,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,0.0,sa,84.91515500515243,131.9463884008867,96.24061940371747,0.4179142020002473,8.988594214009936,18.76837127598992,50,62720197
2.0,142.0,14141.257457547956,438.0002202758402,8.479633855335663,142.0,24.532480269884154,9.839802972963945,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,187.7223966948421,141.17717703340477,88.77805112608831,0.4572476879984606,9.999537405004958,20.2990726479984,50,136400721
4.0,106.0,10097.405268017112,1422.3525051893012,2.3713412541948817,106.0,9.164125682878408,10.76923210477194,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,0.8333333333333334,aco,88.32124991360283,73.21253990348197,56.57902833439585,0.9248727419981151,17.214565296999353,28.828695438001887,50,147919536
3.0,68.0,13394.762662822108,469.98894998296964,9.574976883079977,68.0,24.810774214441224,11.253672403695262,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,177.2673696490371,142.3869987645559,97.58313671354385,0.3794207729988557,6.909156129997427,13.137598662000528,50,91661843
5.0,48.0,14875.925999482188,213.599606703795,8.071475429845865,48.0,23.678367525126514,8.130274948073367,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,aco,221.65524917493917,130.42690120145656,91.40015028422427,0.517391879002389,11.54160265000246,18.508651161995658,50,142972928
5.0,130.0,1085.5138818873124,141.50560722839867,6.508169147628924,130.0,7.590120144254634,12.626574709488748,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.8,aco,7.807760002838526,5.799848872370421,5.112112116333757,1.8374710119996962,27.908334685999762,36.249186279999776,50,17592372
4.0,87.0,2757.115353445727,1344.9680814610408,4.999145966074929,87.0,10.83885018001648,9.719489761727518,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,0.6666666666666666,ga,46.700937151278524,31.947741701264874,78.7055767457069,0.7872661429998971,13.440685730000041,29.28007790300012,50,4388120
4.0,93.0,4609.902597766021,975.1804860865337,3.831812954708926,93.0,23.57894166459543,24.028518014675495,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,49.74620755092625,42.96961373868681,28.84875744504714,0.6449726350001583,13.268912515999546,20.8502970669997,50,28472915
2.0,135.0,10388.353669062168,515.1910015210211,4.408946196775586,135.0,7.349711538631298,7.730180880095022,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,ga,203.03882442513768,141.80158447523021,286.016445706995,0.380495848999999,8.296962889999122,18.10512674599886,50,79833865
2.0,128.0,1651.294617173361,100.6174398134769,4.4997115940940695,128.0,15.921782831004336,21.749939831577905,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,21.06091689409918,16.909407862267535,12.30767261932063,0.32297372500033816,8.207284976000665,16.63038402300117,50,45038068
5.0,92.0,2417.9072466377306,644.5284048374685,7.735979275139096,92.0,6.07619993435029,9.583669030494706,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,ga,27.797101993496728,20.965116823860527,335.71060585872164,1.604936440999154,21.909490442994866,28.925889795005787,50,119446621
6.0,82.0,2818.2796978739384,107.92289109891009,2.6512094906378514,82.0,14.179872369442434,20.675787289869405,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,1.0,aco,16.691425455571274,17.143231707791355,9.597376114922334,1.495510248998471,21.57558968000012,25.91448224800115,50,86406072
4.0,143.0,8140.053430764522,1165.7972230502296,6.73031959084364,143.0,20.61527063410422,7.893112484108917,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,0.6666666666666666,ga,511.2290986657812,54.452485056086076,5186.617261731529,1.9687624339999275,34.76160092500004,48.00280113100007,50,4557661
3.0,77.0,1536.472294828016,776.6037390817161,8.093390854776413,77.0,17.687137597485872,11.988744010588857,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,38.00974364246051,31.751099915141886,26.529770174177642,0.40451038400351536,8.355479957004718,16.454402732000744,50,176661722
2.0,55.0,1600.3123842889936,164.7429356746384,1.0710144134223842,55.0,19.07978981465579,16.68279924061231,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,43.68668319844923,41.35892782532992,29.810703887149845,0.17052989700459875,3.877670942005352,7.561453381997126,50,116444748
4.0,133.0,4073.0518294603303,188.16243574144596,9.71332720759697,133.0,17.759140644093264,13.887758402768982,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,27.567813263871926,24.96971554195282,14.883718160992927,1.1507712009988609,22.815548514998227,34.200767866001115,50,171076842
